date,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
01 1 2019,25.6,28.8,22.8,29.6,32.4,27.5
01 2 2019,25.9,29.5,22.5,29.7,32.5,26.6
01 3 2019,25.8,29.5,22,30.1,33.9,26.2
01 4 2019,25.8,29.6,23.1,29.2,32,27.3
01 5 2019,25.3,29.5,22,28.7,31.9,26.1
01 6 2019,24.6,28.2,21.4,28.3,32,25.2
01 7 2019,24.6,28.8,21,27.7,30.7,24.6
01 8 2019,24.8,29.3,20.7,28,31.2,24
01 9 2019,25.3,29.1,21.9,29.2,32.5,26
01 10 2019,25.1,29.5,21.9,28.9,32.1,25.9
01 11 2019,25.3,29.4,22.4,29,31.8,26.5
01 12 2019,25.6,30,22.2,29.6,34.9,26.7
01 13 2019,25.8,29.6,23.2,29.4,33.9,26.7
01 14 2019,25,30,21.1,28.1,32.2,24.9
01 15 2019,24.9,29,21,27.6,30.5,24.8
01 16 2019,24.6,28.8,20.9,27.5,30.9,24.7
01 17 2019,24.5,29.8,20.5,27.5,33.8,23.5
01 18 2019,24.9,28.8,21.4,27.2,29.4,25.4
01 19 2019,24.7,29.2,20.5,27.6,30.7,24
01 20 2019,25.5,30,21.4,29.1,33.7,25.5
01 21 2019,25.4,29,22.2,28.5,31.8,25.8
01 22 2019,26.1,29.6,23.5,29.5,31.8,26.7
01 23 2019,25.9,28.8,24,28.4,30.9,25.5
01 24 2019,25.9,29.6,23.4,29,33.7,26.2
01 25 2019,25.7,29.4,22.5,28.7,33,26.4
01 26 2019,24.8,27.8,21.9,27.1,30.3,24.9
01 27 2019,24.2,27.4,21.2,25.7,28.4,24.1
01 28 2019,23.7,27.4,19.8,25.4,28.5,22.6
01 29 2019,23.3,27.8,20,25.2,28.6,22.5
01 30 2019,24,28.9,20,26.3,29.6,22.8
01 31 2019,24.5,29,21,27.6,31.6,24.3
02 1 2019,24.7,28.5,22.1,27,30.1,25.2
02 2 2019,24.6,28.8,20.9,26.8,29.6,24.2
02 3 2019,25,30,21,28.4,32.6,24.6
02 4 2019,25.9,30.2,23.4,28.4,32.4,26.1
02 5 2019,25.1,29.5,20.4,27.9,33.3,23.8
02 6 2019,25,28.9,21.3,27.7,33.2,24.2
02 7 2019,25,29.4,20.9,27.4,32.5,23.9
02 8 2019,24.8,29.4,20.2,28.1,33.9,23.6
02 9 2019,25.5,30.5,20.5,28.9,35.4,24.2
02 10 2019,26.1,30.4,22.6,29.4,33.5,26.8
02 11 2019,26.1,30.6,22.4,28.9,32.2,26.9
02 12 2019,25.5,29.8,21.2,28,30.9,24.9
02 13 2019,25.8,29.4,22.6,28.5,31.1,26.9
02 14 2019,25.3,30.5,21.1,27.8,32.6,24.9
02 15 2019,25.4,30.2,20,27.2,32.4,22.9
02 16 2019,26,30.9,21.9,28.9,34.7,25.5
02 17 2019,25.5,29.9,21,28.1,34,24.3
02 18 2019,26.3,30,24,27.4,30.5,25.6
02 19 2019,26.2,30.6,22.4,27.8,31.2,25.4
02 20 2019,25.8,30.2,21.8,27.3,30.9,25.2
02 21 2019,26,30.2,21.9,27.1,31.4,23.1
02 22 2019,25.6,29,21.4,28.3,33.3,25
02 23 2019,25.7,29.8,21.4,28.4,32.8,25.3
02 24 2019,25.7,30,20.6,28.7,34.3,24
02 25 2019,25.9,29.4,22.5,28.9,32.8,26.4
02 26 2019,26.1,29.4,23.4,28.4,33.2,25.9
02 27 2019,26.1,30.4,23,27.4,31.2,24.5
02 28 2019,25.9,30.2,21.5,28.6,32.3,25
03 1 2019,26.1,29.9,22.5,28.9,33.3,25.4
03 2 2019,26.3,31,22.2,28.1,32.6,25.5
03 3 2019,26,30.7,20.5,29,35.4,23.1
03 4 2019,27.5,31.9,23.2,30.9,35.9,27.8
03 5 2019,27.4,31.8,24.6,30,33.5,28.1
03 6 2019,27.1,31.9,22.7,30.3,37.1,26.4
03 7 2019,27.5,31.6,23.4,30.8,35.1,27.3
03 8 2019,27.7,32.3,24,30,35.2,27.7
03 9 2019,27.6,32.1,23.8,30,36.6,27.1
03 10 2019,26.8,32.3,21.9,30.2,35.8,25.2
03 11 2019,27.4,31.9,24.5,31.6,35.3,29.4
03 12 2019,27.6,31.5,24.1,31.7,36.4,27
03 13 2019,27.6,31.5,24.5,31.1,35.2,28.2
03 14 2019,27.8,30.6,24.2,30.5,34.5,26.8
03 15 2019,26.7,30,24.5,31.4,35.3,29.5
03 16 2019,27.1,31.5,24.6,29.9,33,28.7
03 17 2019,27.5,32,23.6,30.7,35,28.4
03 18 2019,28,33,24.4,30.7,35.6,27.8
03 19 2019,27.9,33.2,22.6,31,36.3,27.3
03 20 2019,27.8,33.2,22.5,30.3,34.7,26.9
03 21 2019,27.9,33,22.5,30.1,34.8,26.4
03 22 2019,28,32.7,23.1,31,36.1,26.9
03 23 2019,27.9,32.8,23.5,30.7,36.2,28
03 24 2019,27.7,32.3,24.4,29.1,32.6,26.7
03 25 2019,27.5,32.2,23.2,29.3,33.2,27.1
03 26 2019,27.5,32.2,21.9,30.1,35.3,25.6
03 27 2019,28.2,31.6,25,30.6,32.6,28.8
03 28 2019,28.6,32.3,25.2,32.3,38.1,28.9
03 29 2019,28.8,33.9,25.5,32,37.6,29.4
03 30 2019,28.2,33.1,24.3,31.2,36.5,28.5
03 31 2019,28.5,33.4,24.3,30.5,36.1,27
04 1 2019,28.2,33,24.6,30.7,36.3,27.8
04 2 2019,28,33,23.5,30.1,36.1,26.6
04 3 2019,28.6,33,24.9,30.9,34.6,28.3
04 4 2019,28.6,33.2,24.9,31.3,36.1,28.5
04 5 2019,29.3,34,25.5,32.2,37,29
04 6 2019,29.2,33.2,25.8,33.4,37.9,30.5
04 7 2019,29.6,34.2,25.6,33.8,39,29.6
04 8 2019,29.8,34.8,26.4,33,38.9,30.3
04 9 2019,29.8,34.3,25.9,33.3,37.3,30.5
04 10 2019,30.3,35.2,26.8,33.6,38.4,31.2
04 11 2019,29.4,32.4,26.5,33.1,36.5,30.5
04 12 2019,28.9,33.5,26.1,34.3,38.5,31.5
04 13 2019,29.8,33.2,26.9,34.4,38,32.5
04 14 2019,30.3,35.2,26.6,34,37.2,31.8
04 15 2019,29.9,34.1,26.6,33.7,38,30.7
04 16 2019,30,33.7,26.1,34.2,39,31.1
04 17 2019,30.1,33.7,27.4,34.9,39.7,32.6
04 18 2019,30.1,34.1,27.3,35,39.8,31.7
04 19 2019,30.4,34.7,27,34.9,38.4,31.9
04 20 2019,30.7,35.7,26.8,33.9,39,31.2
04 21 2019,30.1,35.2,25.2,34.4,40.1,29.4
04 22 2019,30.8,35.8,27.6,33.8,38.2,31
04 23 2019,30.3,35.3,26.4,32.3,35.7,29.9
04 24 2019,30.2,35,26.3,33.2,36.9,31.2
04 25 2019,30.5,36.1,26.2,32.6,38,29.7
04 26 2019,30.1,35.8,26.1,32.9,37,30.3
04 27 2019,29.8,35.2,26,31.9,37.2,28.6
04 28 2019,29,35.2,23.8,32.5,38.6,28
04 29 2019,30.1,34.9,26.8,33.3,38.1,30.5
04 30 2019,30.3,35.1,26.3,33.5,37.8,30.3
05 1 2019,29.9,34.2,26.5,34.1,38.9,31.2
05 2 2019,29.3,33.8,26.6,34.5,39.9,31.7
05 3 2019,29.3,33.2,25.8,34.4,39.6,31.5
05 4 2019,29.3,32.3,26.7,33.8,37.4,31.5
05 5 2019,29,31.9,27.1,33.9,37.1,31.8
05 6 2019,27.8,30,26.3,33.2,34.6,31.8
05 7 2019,27.3,29.5,25.9,32.7,34.5,30.8
05 8 2019,27.2,30,25.8,33.4,36.1,31.7
05 9 2019,27.7,30.8,25.5,33.6,38.2,31.6
05 10 2019,27.9,30.5,25.6,33.4,36.8,31.1
05 11 2019,28,30.1,26.5,33.9,37.1,32.3
05 12 2019,28.5,31,26,34.8,38.2,32.2
05 13 2019,28.7,32.5,26,35.3,40.3,31.9
05 14 2019,29.6,33,26.9,36,40,32.9
05 15 2019,29.5,32.2,26.8,35.9,40.1,33.3
05 16 2019,30.2,33.5,27.2,36,41.1,33.3
05 17 2019,29.5,32.3,26.5,35.8,39,32.6
05 18 2019,29.7,32.1,27.5,35.4,37.9,34
05 19 2019,29.6,32,27.3,35.6,38.7,33.7
05 20 2019,29.3,32,27,35.6,38.9,33.9
05 21 2019,28.9,31.5,26.6,34.9,38,32.6
05 22 2019,28.6,31,26.8,35,38,33.2
05 23 2019,28.7,31.4,26.1,35.2,39,33
05 24 2019,28.2,31.7,26.2,34.4,39.3,32.5
05 25 2019,28,30.4,25.7,33.2,34.4,31.3
05 26 2019,27,29.4,25.9,32.9,35.3,31.8
05 27 2019,27.6,31.8,25.4,33.4,38.4,31.4
05 28 2019,28.3,32.2,25.5,34.1,37.9,31.2
05 29 2019,28.8,32.3,25.5,35.1,39.3,31.1
05 30 2019,29.7,33.1,27,36,39.6,33.6
05 31 2019,30,33.6,26.8,35.9,41.7,32.4
06 1 2019,30.2,34.2,27.2,36.1,40.8,32.8
06 2 2019,30.8,34.5,27.4,35.6,39,33.8
06 3 2019,29.9,33.5,26.9,36,40.2,33.7
06 4 2019,30.1,33.6,27.2,35.6,40.8,31.6
06 5 2019,29.9,33.3,26,35.2,40,31.7
06 6 2019,30.6,35,27,34.5,38.7,31.2
06 7 2019,30.5,34.3,27.2,34.7,38.8,31.8
06 8 2019,30.8,35,27.4,35.8,40.9,33
06 9 2019,29.5,34.5,26.5,34.9,40.6,32.2
06 10 2019,28.8,32.5,26.5,34.5,39.2,32.1
06 11 2019,28.5,31.8,26.3,34,38.1,31.3
06 12 2019,28.9,30.8,27,34.7,36.9,32.1
06 13 2019,28.5,30.2,26.7,34.1,36,31.6
06 14 2019,28.4,31.2,27,33.5,36.4,31
06 15 2019,28.6,30.9,26.8,33.5,35.8,30.9
06 16 2019,28.5,31.5,26.5,34.6,38.7,30.6
06 17 2019,28.7,33.1,25.5,34.8,39.4,31.7
06 18 2019,29.3,32.8,26.5,34.8,38.5,33.1
06 19 2019,29.6,32.5,26.6,35.2,38.5,32.6
06 20 2019,29.1,32.7,26.2,36,41.3,32.3
06 21 2019,29.2,32.2,26.9,35.6,39.9,32.5
06 22 2019,28.8,32.2,26.1,35.2,40.2,32.6
06 23 2019,28.4,31.4,26.2,34.5,39,31.3
06 24 2019,28,30,26.2,33.6,36.4,32.1
06 25 2019,27.4,29.5,25.3,33.2,35.9,29.9
06 26 2019,27.5,29.8,26.3,33,36.7,31.3
06 27 2019,26.8,28.8,25.8,31.2,32.9,28.8
06 28 2019,27,28.8,25.9,30.8,32.4,29.5
06 29 2019,27,28.1,26.1,30.5,31.8,29
06 30 2019,26.5,28.4,26,30.7,32,29.3
07 1 2019,26.3,26.9,25.6,30.3,31.6,29.3
07 2 2019,27,28.8,25.7,32.8,34.7,31
